0.005,83.0
0.01,67.2
0.015,67.3
0.02,67.2
0.025,67.1
0.03,67.5
0.035,67.0
0.04,67.4
0.045,67.4
0.05,67.3
0.055,67.5
0.06,67.5
0.065,68.5
0.07,69.0
0.075,68.5
0.08,69.8
0.085,69.1
0.09,68.2
0.095,71.6
0.1,68.1
0.105,67.8
0.11,68.1
0.115,68.9
0.12,67.5
0.125,68.0
0.13,68.9
0.135,68.1
0.14,68.6
0.145,68.5
0.15,68.9
0.155,68.6
0.16,70.3
0.165,68.0
0.17,68.3
0.175,68.2
0.18,68.9
0.185,69.1
0.19,68.4
0.195,68.9
0.2,68.5
0.205,67.8
0.21,69.0
0.215,68.7
0.22,71.3
0.225,86.9
0.23,69.3
0.235,69.1
0.24,68.8
0.245,68.8
0.25,68.5
